date,time,text,nearest_match,match_result,source,text_lr,text_bert
2024-07-16,17:00:00,"EURO 2024 was crammed full of award winners and landmark achievements ?

A round-up of all those honoured and the record breakers ??

#EURO2024",Tournament window,,euro2024_domain,euro crammed full award winners landmark achievements round all those honoured record breakers euro,EURO 2024 was crammed full of award winners and landmark achievements ? A round-up of all those honoured and the record breakers ?? #EURO2024
2024-07-16,17:19:00,"ÇAYKUR, yo?unlu?u gerekçe göstererek, yar?n ya? çay al?m? yapmayaca??n? aç?klad?. 
Çay üreticisi çok ma?dur.
ÇAYKURun bu politikas? medeniyle özel çat fabrikalar? 12 TLden ya? çay al?m? yapmaya ba?lad?. 
Böyle giderse fiyat daha da dü?er.
Kazanan, özel fabrikalar olur.",Tournament window,,euro2024_domain,aykur unlu gerek stererek yar yapmayaca klad reticisi dur aykur politikas medeniyle zel fabrikalar den yapmaya lad yle giderse fiyat daha kazanan zel fabrikalar olur,"AYKUR, yo?unlu?u gereke gstererek, yar?n ya? ay al?m? yapmayaca??n? a?klad?. ay reticisi ok ma?dur. AYKURun bu politikas? medeniyle zel at fabrikalar? 12 TLden ya? ay al?m? yapmaya ba?lad?. Byle giderse fiyat daha da d?er. Kazanan, zel fabrikalar olur."
2024-07-16,17:29:00,"ÇAYKUR, may?s çay?nda (1. sürüm) üreticinin bütün çay?n? alm??t?.
2. sürümde dekar ba??na 50 kg kontenjan getirildi. Sonra 25 kgye dü?ürüldü.
?imdi al?m durduruluyor.
ÇAYKUR, ya? çay? 19 TLden al?rken
Özelde 10 TLye dü?üyor.
Amaç ne?
ÇAYKUR eliyle özele servet aktarmak m??",Tournament window,,euro2024_domain,aykur may nda reticinin alm mde dekar kontenjan getirildi sonra imdi durduruluyor aykur den rken zelde yor ama aykur eliyle zele servet aktarmak,"AYKUR, may?s ay?nda (1. srm) reticinin btn ay?n? alm??t?. 2. srmde dekar ba??na 50 kg kontenjan getirildi. Sonra 25 kgye d?rld. ?imdi al?m durduruluyor. AYKUR, ya? ay? 19 TLden al?rken zelde 10 TLye d?yor. Ama ne? AYKUR eliyle zele servet aktarmak m??"
2024-07-16,17:55:00,"Matchday 1 concludes with ???? ?? ????

Watch live on UEFA.tv from selected territories ??

#U19EURO",Tournament window,,euro2024_domain,matchday concludes watch live uefa selected territories euro,Matchday 1 concludes with ???? ?? ???? Watch live on UEFA.tv from selected territories ?? #U19EURO
2024-07-16,17:57:00,"João Palhinha in red ??

#UCL",Tournament window,,euro2024_domain,palhinha red ucl,Joo Palhinha in red ?? #UCL
2024-07-16,19:03:00,"The road to @FIFAWorldCup 26 begins in Oceania! 

The @OFCfootball preliminary round qualifying draw will take place at the Home of FIFA in Zurich on Thursday and will be streamed live on FIFA+:",Tournament window,,euro2024_domain,road begins oceania preliminary round qualifying draw will take place home fifa zurich thursday will streamed live fifa,The road to @user 26 begins in Oceania! The @user preliminary round qualifying draw will take place at the Home of FIFA in Zurich on Thursday and will be streamed live on FIFA+:
2024-07-16,19:18:00,"?? TRANSFER offiziell ?

???? @CenkTosun_ ?? #Fenerbahçe ????",Tournament window,,euro2024_domain,transfer offiziell fenerbah,?? TRANSFER offiziell ? ???? @user ?? #Fenerbahe ????
2024-07-16,19:45:00,You can use your bank card,Tournament window,,euro2024_domain,can use bank card,You can use your bank card
2024-07-16,19:57:00,"???? 2-1 ????

France turn it around and earn the three points on Matchday 1 ?

#U19EURO",Tournament window,,euro2024_domain,france turn around earn three points matchday euro,???? 2-1 ???? France turn it around and earn the three points on Matchday 1 ? #U19EURO
2024-07-16,20:20:00,"A dramatic day of action ?

#U19EURO",Tournament window,,euro2024_domain,dramatic day action euro,A dramatic day of action ? #U19EURO
2024-07-16,20:40:00,Starting #U19EURO in style ??????,Tournament window,,euro2024_domain,starting euro style,Starting #U19EURO in style ??????
2024-07-16,21:15:00,Allez les Bleus ????,Tournament window,,euro2024_domain,allez les bleus,Allez les Bleus ????
2024-07-16,21:53:00,Biggest mistake from a bookie is to give me a freebet ??????,Tournament window,,euro2024_domain,biggest mistake bookie give freebet,Biggest mistake from a bookie is to give me a freebet ??????
2024-07-16,22:00:00,"That heroic goal-line clearance by Dani Olmo ??

#EURO2024",Tournament window,,euro2024_domain,heroic goal line clearance dani olmo euro,That heroic goal-line clearance by Dani Olmo ?? #EURO2024
2024-07-16,22:00:00,"The winning moment ????

#U19EURO | @SEFutbol",Tournament window,,euro2024_domain,winning moment euro,The winning moment ???? #U19EURO | @user
2024-07-16,22:15:00,"The goal that crowned Spain EURO 2024 champions ??????

#EURO2024",Tournament window,,euro2024_domain,goal crowned spain euro champions euro,The goal that crowned Spain EURO 2024 champions ?????? #EURO2024
